"lifetime_gross"	"year"	"(no genres listed)"	"Action"	"Adventure"	"Animation"	"Children"	"Comedy"	"Crime"	"Documentary"	"Drama"	"Fantasy"	"Film-Noir"	"Horror"	"IMAX"	"Musical"	"Mystery"	"Romance"	"Sci-Fi"	"Thriller"	"War"	"Western"	"title"	"averageRating"	"numVotes"	"isAdult"	"runtimeMinutes"	"avg_rating_grouplense"
"1"	191796233	1995	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	"Toy Story"	8.3	938235	0	81	3.89370779458724
"2"	100475249	1995	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	"Jumanji"	7	328296	0	104	3.2515271586594
"3"	71518503	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Grumpier Old Men"	6.7	26284	0	101	3.14202812605896
"4"	67052156	1995	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Waiting to Exhale"	6	10564	0	124	2.85354736424891
"5"	76594107	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Father of the Bride Part II"	6.1	36851	0	106	3.05843435205737
"6"	67436818	1995	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	"Heat"	8.2	617142	0	170	3.85490889864975
"7"	53672080	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Sabrina"	7.6	62788	0	113	3.89384555835107
"8"	53672080	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Sabrina"	6.3	39409	0	127	3.36366633696011
"9"	23920048	1995	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Tom and Huck"	5.5	10585	0	97	3.11458333333333
"10"	20350171	1995	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Sudden Death"	5.8	33806	0	111	2.99205066019941
"11"	106429941	1995	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"GoldenEye"	7.2	250231	0	130	3.42145763311516
"12"	10772144	1995	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"Dracula: Dead and Loving It"	5.9	40783	0	88	2.62456562416466
"13"	11348324	1995	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Balto"	7.1	42102	0	78	3.333527696793
"14"	13681765	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Nixon"	7.1	30252	0	192	3.42348883644945
"15"	10017322	1995	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Cutthroat Island"	5.7	27517	0	124	2.71902173913043
"16"	42512375	1995	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	"Casino"	8.2	493946	0	178	3.82370680286894
"17"	43182776	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Sense and Sensibility"	7.7	110714	0	136	3.94880632571342
"18"	4257354	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Four Rooms"	6.8	102200	0	98	3.38435057685151
"19"	108385533	1995	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Ace Ventura: When Nature Calls"	6.4	210520	0	90	2.64216778025241
"20"	35431113	1995	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	"Money Train"	5.7	40373	0	110	2.869921875
"21"	72101622	1995	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	"Get Shorty"	6.9	81564	0	105	3.57016205054541
"22"	32051917	1995	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	"Copycat"	6.6	57669	0	123	3.32001732164123
"23"	30303072	1995	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	"Assassins"	6.3	81036	0	132	3.14569133398247
"24"	30862156	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	"Powder"	6.6	29789	0	111	3.18758389261745
"25"	32029928	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Leaving Las Vegas"	7.5	120112	0	111	3.67730443447932
"26"	2844379	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Othello"	7.1	1467	0	165	3.13636363636364
"27"	2844379	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Othello"	6.9	9488	0	123	3.60670851314241
"28"	27112329	1995	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Now and Then"	6.8	28782	0	100	3.40393151553583
"29"	5269757	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Persuasion"	6.6	514	0	225	3.58333333333333
"30"	5269757	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Persuasion"	7.7	10461	0	107	4.03
"31"	84919401	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Dangerous Minds"	6.5	51350	0	99	3.24483856797716
"32"	63658910	1995	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"Babe"	6.8	121916	0	91	3.60319175991862
"33"	3242342	1995	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	"Carrington"	6.8	5387	0	121	3.4792899408284
